English,Polish,Spanish
brothers,bracia,hermanos
starts,zaczyna się,empieza
prince,książę,Príncipe
form,formularz,forma
sold,sprzedany,vendido
silly,głupi,tonto
mention,wzmianka,mencionar
build,zbudować,construir
throat,gardło,garganta
hole,otwór,agujero
figured,wzorzysty,figurado
track,ścieżka,pista
ringing,dzwonienie,El sonar
lock,zamek,cerrar
leg,noga,pierna
above,powyżej,arriba
hiding,ukrywanie,ocultación
steve,Steve,steve
seemed,wydawało się,pareció
breakfast,śniadanie,desayuno
engine,silnik,motor
written,pisemny,escrito
complete,kompletny,completo
video,wideo,video
applause,oklaski,aplausos
however,Jednakże,sin embargo
pressure,ciśnienie,presión
fresh,świeży,fresco
weapon,broń,arma
sky,niebo,cielo
ms.,SM.,EM.
stole,Ukradłem,robó
study,badanie,estudiar
burn,oparzenie,quemar
reading,czytanie,lectura
crowd,tłum,multitud
treat,traktować,tratar
roll,rolka,rollo
double,podwójnie,doble
spirit,duch,espíritu
danger,niebezpieczeństwo,peligro
cost,koszt,costo
empty,pusty,vacío
level,poziom,nivel
memory,pamięć,memoria
itself,samo,sí mismo
acting,gra aktorska,interino
interest,odsetki,interés
nose,nos,nariz
plans,plany,planes
following,następny,siguiente
bathroom,łazienka,baño
built,wybudowany,construido
closer,bliższy,cerca
ray,promień,rayo
sarah,Sarah,sarah
band,zespół,banda
groans,stękanie,gimazos
apparently,najwyraźniej,aparentemente
excited,podekscytowany,entusiasmado
richard,Richard,Ricardo
losing,przegrywający,perdiendo
animals,Zwierząt,animales
flight,lot,vuelo
nature,Natura,naturaleza
raise,wznosić,aumentar
pop,Muzyka pop,estallido
client,klient,cliente
bomb,bomba,bomba
neck,szyja,cuello
suspect,podejrzany,sospechar
warm,ciepły,cálido
extra,dodatkowy,extra
bottle,butelka,botella
van,awangarda,camioneta
heavy,ciężki,pesado
mommy,mamusia,mami
dogs,psy,perros
wild,dziki,salvaje
ridiculous,śmieszny,ridículo
simply,po prostu,simplemente
lee,zawietrzny,sotavento
animal,zwierzę,animal
showed,pokazane,presentado
billy,menażka,porra
shooting,strzelanie,tiroteo
keeps,Keeps,guardia
camp,obóz,acampar
guns,pistolety,pistolas
medical,medyczny,médico
shame,wstyd,lástima
hoping,Mając nadzieję,esperando
whom,kogo,a quien
bird,ptak,pájaro
majesty,majestat,majestad
flowers,kwiaty,flores
famous,słynny,famoso
asleep,we śnie,dormido
beauty,uroda,belleza
driver,kierowca,conductor
keys,Klucze,llaves
rain,deszcz,lluvia
awful,okropny,horrible
large,duży,grande
local,lokalny,local
deserve,zasługiwać,merecer
goddamn,przeklęty,maldito
stone,kamień,piedra
jane,Jane,jane
grace,łaska,gracia
consider,rozważać,considerar
weekend,weekend,fin de semana
wondering,zastanawianie się,preguntarse
lay,położyć,poner
plenty,mnóstwo,infinidad
willing,chętny,deseoso
pants,spodnie,pantalones
sweetheart,kochanie,cariño
skin,skóra,piel
excellent,doskonały,excelente
asshole,dupek,Estúpido
beach,plaża,playa
c,C,C
faith,wiara,fe
beg,błagać,mendigar
fuckin,kurwa,jodido
responsible,odpowiedzialny,responsable
military,wojskowy,militar
cheering,doping,aplausos
opportunity,możliwość,oportunidad
common,wspólny,común
bottom,spód,abajo
german,Niemiecki,alemán
whoever,ktokolwiek,quien
cook,kucharz,cocinar
walked,Poszedł,caminó
papers,dokumenty tożsamości,documentos
justice,sprawiedliwość,justicia
hall,hala,sala
commander,dowódca,comandante
drug,lek,droga
main,główny,principal
knife,nóż,cuchillo
devil,diabeł,demonio
necessary,niezbędny,necesario
although,Chociaż,a pesar de
princess,księżniczka,princesa
lights,światła,luces
flying,latający,volador
dick,kutas,polla
rose,Róża,rosa
knowing,porozumiewawczy,conocimiento
clearly,Wyraźnie,claramente
hat,kapelusz,sombrero
agreed,Zgoda,acordado
johnny,Jasio,Johnny
corner,narożnik,esquina
code,kod,código
note,notatka,nota
tommy,Tommy,tommy
due,należny,pendiente
correct,prawidłowy,correcto
apologize,przepraszać,disculparse
language,język,idioma
stars,gwiazdy,estrellas
faster,szybciej,más rápido
cars,samochody,carros
folks,ludzie,amigos
bullshit,głupie gadanie,mierda
i.,I.,i.
fellow,kolega,compañero
several,kilka,varios
grandma,babcia,abuela
shows,przedstawia,espectáculos
leader,lider,líder
leaves,liście,hojas
restaurant,restauracja,restaurante
east,wschód,este
shouting,rozkrzyczany,gritos
blind,ślepy,ciego
ghost,duch,fantasma
cup,filiżanka,taza
gotten,Got,recogido
tight,obcisły,ajustado
conversation,rozmowa,conversación
tells,mówi,contado
lies,kłamstwa,mentiras
nor,ani,ni
pulled,pociągnięty,tirado
hanging,wiszące,colgante
speed,prędkość,velocidad
stories,historie,cuentos
health,zdrowie,salud
advice,rada,consejo
held,trzymany,sostuvo
uh-huh,UH Huh,UH Huh
murdered,zamordowany,asesinado
beyond,poza,más allá de
rule,reguła,regla
hardly,ledwie,difícilmente
possibly,prawdopodobnie,posiblemente
inspector,inspektor,inspector
cousin,kuzyn,primo
trial,test,ensayo
emergency,nagły wypadek,emergencia
ought,powinien,debería
eddie,Eddie,eddie
somehow,jakoś,de alguna manera
hearing,przesłuchanie,audiencia
states,państwa,estados
account,konto,cuenta
spoke,przemówił,habló
file,plik,archivo
understood,zrozumiany,comprendido
angel,anioł,ángel
tape,taśma,cinta
milk,mleko,leche
powerful,potężny,poderoso
weapons,bronie,arma
practice,ćwiczyć,práctica
manager,menedżer,gerente
pardon,pardon,indulto
vote,głosować,votar
jake,Jake,jake
national,krajowy,nacional
career,kariera,carrera
minister,minister,ministro
super,Super,súper
taught,nauczał,enseñó
robert,Robert,Robert
biggest,największy,más grande
plays,gra,obras de teatro
natural,naturalny,natural
dancing,taniec,baile
copy,Kopiuj,Copiar
plus,plus,más
martin,jaskółka oknówka,martín
cake,ciasto,pastel
freedom,wolność,libertad
among,wśród,entre
breath,oddech,aliento
operation,operacja,operación
chris,Chris,Chris
crew,załoga,multitud
challenge,wyzwanie,desafío
market,rynek,mercado
meat,mięso,carne
towards,w kierunku,hacia
bringing,przynoszący,trayectoria
dropped,upuszczony,abandonó
student,student,alumno
lied,skłamał,mintió
strength,wytrzymałość,fortaleza
size,rozmiar,tamaño
breathe,oddychać,respirar
color,kolor,color
monster,potwór,monstruo
loud,głośny,alto
photo,zdjęcie,foto
aw,aw,aw
nearly,prawie,cerca de
sight,wzrok,vista
greatest,Największy,mejor
games,Gry,juegos
bridge,most,puente
dressed,ubrany,vestido
arrested,aresztowany,detenido
horrible,straszny,horrible
coach,trener,entrenador
planning,planowanie,planificación
checked,sprawdzony,comprobado
breaking,łamanie,rotura
noticed,zauważony,observó
fantastic,fantastyczny,fantástico
screams,krzyki,carcajadas
serve,podawać,atender
ideas,pomysły,ideas
investigation,dochodzenie,investigación
center,Centrum,centro
older,starsze,más viejo
pack,Pakiet,embalar
soldiers,żołnierski,soldados
nonsense,nonsens,disparates
doc,Doc,doc
project,projekt,proyecto
training,szkolenie,capacitación
example,przykład,ejemplo
trick,sztuczka,truco
prepared,przygotowany,preparado
science,nauka,ciencia
united,zjednoczony,unido
travel,podróż,viajar
incredible,niesamowity,increíble
grandpa,dziadek,abuelo
paying,intratny,pago
character,postać,personaje
teeth,zęby,dientes
criminal,kryminalista,delincuente
charles,Charles,Charles
chinese,chiński,chino
truly,naprawdę,realmente
honestly,Szczerze mówiąc,honestamente
bro,brachu,hermano
survive,przetrwać,sobrevivir
bobby,konstabl,poli
target,cel,objetivo
feed,karmić,alimentar
nurse,pielęgniarka,enfermero
e,mi,mi
fake,podróbka,falso
records,dokumentacja,registros
breathing,oddechowy,respiración
sweetie,kochanie,cariño
numbers,liczby,números
oil,olej,aceite
suicide,samobójstwo,suicidio
belong,przynależeć,pertenecer
whoo,Whoo,whoo
perfectly,doskonale,perfectamente
amy,Amy,Amy
forgotten,zapomniany,olvidado
remain,pozostać,permanecer
original,oryginalny,original
papa,papa,papá
onto,na,sobre
concerned,zainteresowany,preocupado
credit,kredyt,crédito
ugh,Ugh,puaj
invited,zaproszony,invitado
discuss,omówić,conversar
research,badania,investigación
easier,łatwiej,más fácil
view,pogląd,vista
chair,krzesło,silla
hurts,boli,duele
strike,strajk,huelga
roger,zrozumiałem,roger
fill,wypełnić,llenar
condition,stan,condición
mountain,Góra,montaña
dr,dr,dr.
nowhere,nigdzie,en ningún lugar
sheriff,szeryf,alguacil
kim,Kim,kim
turning,obrócenie,torneado
brown,brązowy,marrón
recognize,rozpoznać,reconocer
heads,głowy,cabezales
audience,publiczność,audiencia
all,Wszystko,todo
jealous,zazdrosny,celoso
pretend,udawać,pretender
society,społeczeństwo,sociedad
finding,odkrycie,hallazgo
shirt,koszula,camisa
comfortable,wygodny,cómodo
meaning,oznaczający,significado
guest,gość,invitado
pieces,sztuki,piezas
dry,suchy,seco
letting,pozwalając,dejado
began,rozpoczął się,comenzó
aye,zawsze,sí
jeff,Jeff,Jeff
female,Kobieta,femenino
release,uwolnienie,liberar
ho,Ho,Ho
cards,karty,tarjetas
pray,modlić się,orar
unfortunately,Niestety,desafortunadamente
balls,kulki,pelotas
destroyed,zniszczony,destruido
ended,zakończyło się,terminado
universe,wszechświat,universo
prepare,przygotowywać,preparar
opinion,opinia,opinión
movies,kino,películas
soldier,żołnierz,soldado
wash,myć się,lavar
program,program,programa
heat,ciepło,calor
usual,zwykły,habitual
ticket,bilet,boleto
stolen,skradziony,robado
prefer,woleć,preferir
aware,świadomy,consciente
surely,pewno,seguramente
male,Mężczyzna,masculino
base,baza,base
matters,spraw,asuntos
lift,winda,elevar
lab,laboratorium,laboratorio
command,Komenda,dominio
proof,dowód,prueba
cream,krem,crema
selling,sprzedawanie,venta
believed,wierzył,creído
create,tworzyć,crear
h,H,H
afford,pozwalać,poder pagar
sunday,niedziela,domingo
total,całkowity,total
dumb,głupi,mudo
threw,rzucił,lanzar
france,Francja,Francia
birth,narodziny,nacimiento
created,Utworzony,creado
realized,realizowany,comprendió
british,brytyjski,británico
noise,hałas,ruido
nuts,orzechy,nueces
students,studenci,estudiantes
birds,ptaki,aves
social,społeczny,social
brilliant,genialny,brillante
bodies,ciała,cuerpos
tie,krawat,atar
opened,otwierany,abrió
ours,nasz,nuestro
bucks,Bucks,bucle
kevin,Kevin,Kevin
mister,pan,señor
ugly,brzydki,feo
ryan,Ryan,ryan
focus,centrum,enfocar
dan,Dan,dan
opens,otwiera się,abertura
exist,istnieć,existir
followed,poszedł za nimi,seguido
england,Anglia,Inglaterra
draw,rysować,dibujar
purpose,zamiar,objetivo
letters,listy,letras
daniel,Daniel,Daniel
opening,otwarcie,apertura
bullet,pocisk,bala
anna,Ania,Anna
lately,ostatnio,últimamente
stayed,Został,permaneció
falling,spadający,descendente
season,pora roku,estación
ends,kończy się,fines
suggest,sugerować,sugerir
joy,radość,alegría
distance,dystans,distancia
responsibility,odpowiedzialność,responsabilidad
whenever,"zawsze, gdy",cuando sea
issue,wydanie,asunto
thousands,tysiące,miles
process,proces,proceso
sword,miecz,espada
shower,prysznic,ducha
weak,słaby,débil
fucked,Pieprzony,follado
lonely,samotny,solitario
happiness,szczęście,felicidad
eric,Eric,Eric
tiny,malutki,diminuto
desk,biurko,escritorio
pool,basen,piscina
property,nieruchomość,propiedad
forced,wymuszony,forzado
settle,rozstrzygnąć,asentarse
indistinct,niewyraźny,indistinto
weight,waga,peso
received,otrzymane,recibió
gang,banda,pandilla
bite,ugryzienie,morder
friday,piątek,viernes
disappeared,zniknął,desaparecido
interview,wywiad,entrevista
expecting,przy nadziei,esperanza
kinda,poniekąd,un poco
surgery,chirurgia,cirugía
horses,konie,caballos
mayor,burmistrz,alcalde
babe,dziecko,bebé
ancient,starożytny,antiguo
handsome,przystojny,elegante
thomas,Tomasz,Thomas
saturday,sobota,sábado
staff,personel,personal
lines,linie,líneas
unit,jednostka,unidad
fan,wentylator,admirador
gentleman,pan,hidalgo
introduce,wprowadzić,introducir
fate,los,destino
split,podział,dividir
recently,Ostatnio,recientemente
expected,oczekiwany,esperado
add,dodać,agregar
ordered,zamówiono,ordenado
slowly,powoli,despacio
alarm,alarm,alarma
member,członek,miembro
slept,spał,durmió
signed,podpisane,firmado
enter,Wchodzić,ingresar
spanish,hiszpański,español
garden,ogród,jardín
brings,przynosi,trayera
brave,odważny,corajudo
pig,świnia,cerdo
model,Model,modelo
finger,palec,dedo
medicine,medycyna,medicamento
access,dostęp,acceso
failed,przegrany,fallido
flat,płaski,departamento
easily,łatwo,fácilmente
discovered,odkryty,descubierto
based,na podstawie,basado
screw,śruba,tornillo
insane,obłąkany,loco
cares,troszczy się,cuidados
weather,pogoda,clima
fingers,palce,dedos
san,San,san
scott,Scott,escocés
path,ścieżka,camino
soft,miękki,suave
harm,szkoda,dañar
style,styl,estilo
community,wspólnota,comunidad
sees,widzi,visión
basically,zasadniczo,básicamente
al,glin,Alabama
signal,sygnał,señal
nope,Nie,no
spare,zapasowy,repuesto
speech,przemówienie,discurso
covered,pokryty,cubierto
shake,potrząsnąć,agitar
loose,luźny,perder
snow,śnieg,nieve
russian,Rosyjski,ruso
lake,jezioro,lago
bright,jasny,brillante
roof,dach,techo
ohh,Och,oh
sending,wysyłanie,enviando
paint,farba,pintar
remind,przypomnieć,recordar
pal,kumpel,camarada
naked,nagi,desnudo
post,post,correo
sugar,cukier,azúcar
heading,nagłówek,título
streets,ulice,calles
damage,szkoda,daño
silence,cisza,silencio
doors,drzwi,puertas
pete,Pete,pete
ed,wyd,edición
success,powodzenie,éxito
wet,mokry,húmedo
nah,Nie,nah
amount,kwota,cantidad
members,członkowie,miembros
kate,Kate,Kate
manage,zarządzać,administrar
safety,bezpieczeństwo,seguridad
returned,zwrócony,devuelto
harder,trudniej,más difícil
fbi,FBI,FBI
block,blok,bloquear
showing,seans,demostración
fancy,wymyślny,elegante
chef,szef kuchni,cocinero
contract,kontrakt,contrato
dig,kopać,excavar
chest,klatka piersiowa,pecho
good-bye,do widzenia,adiós
drinks,napoje,bebidas
dave,Dave,dave
buried,pochowany,enterrado
brian,Brian,brian
trade,handel,comercio
journey,podróż,viaje
stomach,żołądek,estómago
changes,zmiany,cambios
details,Detale,detalles
thoughts,myśli,pensamientos
divorce,rozwód,divorcio
funeral,pogrzeb,funeral
maria,Maria,maría
football,piłka nożna,fútbol americano
reality,rzeczywistość,realidad
theory,teoria,teoría
gosh,Boże,Dios mio
ruined,zrujnowany,arruinado
gate,brama,puerta
william,William,Guillermo
spread,rozpowszechnianie się,desparramar
outta,Outta,fuera
japanese,język japoński,japonés
sudden,nagły,repentino
coat,płaszcz,abrigo
sooner,wcześniej,cuanto antes
cheese,ser,queso
larry,Larry,Larry
spring,wiosna,primavera
page,strona,página
ears,uszy,orejas
simon,Szymon,Simón
castle,zamek,castillo
hidden,ukryty,oculto
storm,burza,tormenta
cos,sałata,costilla
personally,osobiście,personalmente
artist,artysta,artista
hill,wzgórze,colina
exciting,ekscytujący,emocionante
permission,pozwolenie,permiso
jerry,nocnik,alemán
expensive,drogi,caro
tickets,bilety,Entradas
forest,las,bosque
barely,ledwie,apenas
eggs,jajka,huevos
goin,wejść,entra
regret,żal,arrepentirse
lesson,lekcja,lección
lover,kochanek,amante
bread,chleb,pan
andy,Andy,Andy
subject,temat,sujeto
legal,prawny,legal
growing,rozwój,creciente
ill,chory,enfermo
jason,Jason,jasón
mood,nastrój,ánimo
owner,właściciel,dueño
caused,spowodowany,causado
beeping,sygnał dźwiękowy,pitido
points,zwrotnica,puntos
dating,randki,tener una cita
loss,strata,pérdida
secretary,sekretarz,secretario
revenge,zemsta,venganza
santa,Święty,Papa Noel
likely,prawdopodobnie,probable
rent,wynajem,alquilar
connection,połączenie,conexión
assistant,asystent,asistente
reasons,powody,razones
yelling,wrzeszczał,gritos
painting,obraz,cuadro
trees,drzewa,árboles
doctors,Lekarze,doctores
rush,pośpiech,correr
foreign,zagraniczny,extranjero
rough,surowy,bruto
murderer,morderca,asesino
century,wiek,siglo
nights,Noce,noches
pair,para,par
runs,bierze,carreras
pocket,kieszeń,bolsillo
farm,gospodarstwo rolne,granja
matt,Matt,mate
bike,rower,bicicleta
obvious,oczywiste,obvio
ate,zjadł,comió
grew,dorastał,creció
professional,profesjonalny,profesional
tim,Tim,Tim
goodness,dobroć,bondad
parts,Części,partes
alan,Alan,alan
university,Uniwersytet,universidad
square,kwadrat,cuadrado
grandfather,Dziadek,abuelo
europe,Europa,Europa
genius,geniusz,genio
cases,sprawy,casos
ruin,ruina,ruina
winter,zima,invierno
tongue,język,lengua
memories,wspomnienia,recuerdos
da,da,cañón
buying,kupowanie,comprar
cancer,rak,cáncer
clock,zegar,reloj
ocean,ocean,océano
dna,DNA,ADN
liar,kłamca,mentiroso
tour,wycieczka,recorrido
thief,złodziej,ladrón
bleep,Bleep,emitir pitidos
lisa,Lisa,lisa
rights,prawa,derechos
including,w tym,incluido
competition,konkurs,competencia
smith,kowal,Herrero
planned,zaplanowany,planificado
emily,Emilia,Emily
boring,nudny,aburrido
victims,ofiary,víctimas
mentioned,wspomniany,mencionado
bones,kości,huesos
plant,zakład,planta
bless,błogosławić,bendecir
warning,ostrzeżenie,advertencia
knocking,pukanie,golpes
re,Odnośnie,re
crash,rozbić się,chocar
bedroom,sypialnia,dormitorio
lower,niżej,más bajo
silver,srebro,plata
groaning,jęczeć,gimiendo
madame,pani,señora
defense,obrona,defensa
results,wyniki,resultados
toilet,toaleta,baño
event,wydarzenie,evento
complicated,skomplikowane,complicado
shape,kształt,forma
priest,kapłan,sacerdote
royal,królewski,real
cheap,tani,barato
romantic,romantyczny,romántico
downstairs,na dole,abajo
invite,zapraszać,invitar
fortune,fortuna,fortuna
tears,łzy,lágrimas
avoid,unikać,evitar
reached,osiągnięty,alcanzó
higher,wyższy,más alto
familiar,znajomy,familiar
telephone,telefon,teléfono
burning,palenie,incendio
filled,wypełniony,completado
kelly,Kelly,Kelly
alice,Alice,Alicia
airport,Lotnisko,aeropuerto
jobs,Oferty pracy,trabajos
grown,dorosły,crecido
walter,Walter,Walter
rachel,Rachel,Rachel
giant,ogromny,gigante
insurance,ubezpieczenie,seguro
woods,Las,bosque
n,N,norte
scare,przestraszyć,susto
pleased,zadowolony,complacido
period,okres,período
political,polityczny,político
player,gracz,jugador
stops,przystanki,parada
secrets,tajniki,misterios
laura,Laura,Laura
repeat,powtarzać,repetir
photos,zdjęcia,fotos
finds,znaleziska,hallazgos
statement,oświadczenie,declaración
suck,ssać,chupar
younger,Młodszy,más joven
china,Chiny,porcelana
humans,Ludzie,humanos
delicious,pyszne,delicioso
particular,konkretny,particular
proper,właściwy,adecuado
rome,Rzym,Roma
belongs,należy,pertenencia
attacked,zaatakowany,atacado
bath,wanna,baño
hired,zatrudniony,contratado
site,strona,sitio
knowledge,wiedza,conocimiento
b,B,b
led,prowadzony,condujo
guests,goście,huéspedes
celebrate,świętować,celebrar
map,mapa,mapa
